Year,Title,Director,Screenwriter(s),Producer(s),Music,RT
1986 August,*Castle in the Sky*,Hayao Miyazaki,,Isao Takahata,Joe Hisaishi,95%[32]
1988 April,*Grave of the Fireflies*,Isao Takahata,,Tōru Hara,Michio Mamiya,97%[33]
,*My Neighbor Totoro*,Hayao Miyazaki,,,Joe Hisaishi,94%[34]
1989 July,*Kiki's Delivery Service*,,,Hayao Miyazaki,,97%[35]
1991 July,*Only Yesterday*,Isao Takahata,,Toshio Suzuki,Katz Hoshi,100%[36]
1992 July,*Porco Rosso*,Hayao Miyazaki,,,Joe Hisaishi,94%[37]
1993 may,*Ocean Waves*,Tomomi Mochizuki,Nozomu Takahashi & Seiji Okuda,,Shigeru Nagata,87%
1994 July,*Pom Poko*,Isao Takahata,,,Shang Shang Typhoon,82%[38]
1995 July,*Whisper of the Heart*,Yoshifumi Kondō,Hayao Miyazaki,,Yuji Nomi,92%[39]
1997 July,*Princess Mononoke*,Hayao Miyazaki,,,Joe Hisaishi,92%[40]
1999 July,*My Neighbors the Yamadas*,Isao Takahata,,,Akiko Yano,75%[41]
2001 July,*Spirited Away*,Hayao Miyazaki,,,Joe Hisaishi,97%[42]
2002 July,*The Cat Returns*,Hiroyuki Morita,Reiko Yoshida,Nozomu Takahashi & Toshio Suzuki,Yuji Nomi,90%[43]
2004 November,*Howl's Moving Castle*,Hayao Miyazaki,,Toshio Suzuki,Joe Hisaishi,87%[44]
2006 July,*Tales from Earthsea*,Gorō Miyazaki,Gorō Miyazaki & Keiko Niwa,Toshio Suzuki & Tomohiko Ishii,Tamiya Terashima,41%[45]
2008 July,*Ponyo*,Hayao Miyazaki,,Toshio Suzuki,Joe Hisaishi,91%[46]
2010 July,*The Secret World of Arrietty*,Hiromasa Yonebayashi,Hayao Miyazaki & Keiko Niwa,,Cécile Corbel,95%[47]
2011 July,*From Up on Poppy Hill*,Gorō Miyazaki,,,Satoshi Takebe,85%[48]
2013 July and November,*The Wind Rises*[49],Hayao Miyazaki,,,Joe Hisaishi,88%[50]
,*The Tale of the Princess Kaguya*[49],Isao Takahata,Takahata & Riko Sakaguchi,Yoshiaki Nishimura & Seiichiro Ujiie,,100%[51]
2014 July,*When Marnie Was There*[52],Hiromasa Yonebayashi,"Yonebayashi, Keiko Niwa & Masashi Ando",Yoshiaki Nishimura & Toshio Suzuki,Takatsugu Muramatsu,90%[53]
TBA,*How Do You Live?*[54][55][56][57],Hayao Miyazaki,,TBA,TBA,TBA
